Credential Code,Credential Name
STCD,STANDARD JUNIOR COLLEGE TEACHING CREDENTIAL (Initial issuance prior to the Community College Law of 1971)
STCE,STANDARD LIMITED SPECIALIZED PREPARATION TEACHING CREDENTIAL
STCF,STANDARD RESTRICTED SPECIAL EDUCATION TEACHING CREDENTIAL
SUBB,30-DAY SUBSTITUTE TEACHING CREDENTIAL
SUBC,EMERGENCY CAREER SUBSTITUTE TEACHING PERMIT
SUBP,30-DAY SUBSTITUTE TEACHING PERMIT
SUBT,EMERGENCY SUBSTITUTE TEACHING PERMIT FOR PROSPECTIVE TEACHERS
SUBV,30-DAY SUBSTITUTE DESIGNATED SUBJECTS VOCATIONAL EDUCATION PERMIT
SUBW,30-DAY SUBSTITUTE TEACHING CREDENTIAL/PERMIT ON STATE BOARD WAIVER
TC1,SINGLE SUBJECT TEACHING CREDENTIAL
TC10,DISTRICT INTERN CREDENTIAL
TC11,PRE-INTERN CERTIFICATE
TC12,SPECIAL TEMPORARY CERTIFICATE
TC13,Short-Term Staff Permit
TC14,Provisional Internship Permit
TC15,Emergency Specialist Teaching Permit in Early Childhood Education
TC1L,LIMITED ASSIGNMENT AUTHORIZATION (Document was available until 6-30-91 only)
TC1P,SINGLE SUBJECT TEACHING PERMIT
TC1S,SUPPLEMENTARY AUTHORIZATION TO A TEACHING CREDENTIAL
TC2,MULTIPLE SUBJECT TEACHING CREDENTIAL
TC2P,MULTIPLE SUBJECT TEACHING PERMIT
TC2S,SUPPLEMENTARY AUTHORIZATION TO A TEACHING CREDENTIAL
TC3A,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Agriculture)
TC3B,SPECIALIST INSTRUCTION CREDENTIAL IN BILINGUAL CROSSCULTURAL EDUCATION (Target Language listed on each document )
TC3C,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Early Childhood Education)
TC3D,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Gifted Education)
TC3E,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Health Science)
TC3F,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Mathematics)
TC3G,SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Reading Education)
TC3H,"SPECIALIST INSTRUCTION CREDENTIAL IN SPECIAL EDUCATION (Authorized Field: Communication Handicapped, Learning Handicapped, Physically Handicapped, Severely Handicapped, or Visually Handicapped)"
TC3P,"EMERGENCY SPECIALIST INSTRUCTION PERMIT IN SPECIAL EDUCATION (Authorized Field: Communication Handicapped, Learning Handicapped, Physically Handicapped, Severely Handicapped, or Visually Handicapped)"
TC3Q,"EDUCATION SPECIALIST INSTRUCTION PERMIT (Authorized Field: Deaf and Hard-of-Hearing, Mild/Moderate Disabilities, Moderate/Severe Disabilities, Physical and Health Impairments, or Visual Impairments.)"
TC3S,"EDUCATION SPECIALIST INSTRUCTION CREDENTIAL (Authorized Field: Deaf and Hard-of-Hearing, Mild/Moderate Disabilities, Moderate/Severe Disabilities, Physical and Health Impairments, Visual Impairments, or Early Childhood Special Education.)"
TC4A,Designated Subjects Adult Education Teaching Credential: Full-Time
TC4B,DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL: REGULAR
TC4D,DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL: FULL-TIME
TC4E,DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL: PART-TIME
TC4F,DESIGNATED SUBJECTS VOCATIONAL EDUCATION TEACHING CREDENTIAL: FULL-TIME
TC4G,DESIGNATED SUBJECTS VOCATIONAL EDUCATION TEACHING CREDENTIAL: PART-TIME
TC4H,PART-TIME DESIGNATED SUBJECTS CAREER TECHNICAL EDUCATION TEACHING CREDENTIAL
TC4J,DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL: PART-TIME (Regulations effective 5/10/95)
TC4P,DESIGNATED SUBJECTS VOCATIONAL EDUCATION TEACHING CREDENTIAL: PART-TIME (Regulations effective 5/10/95)
TC4S,DESIGNATED SUBJECTS SPECIAL SUBJECTS TEACHING CREDENTIAL
TC4T,FULL-TIME DESIGNATED SUBJECTS CAREER TECHNICAL EDUCATION TEACHING CREDENTIAL
TC4V,DESIGNATED SUBJECTS VOCATIONAL EDUCATION TEACHING CREDENTIAL: FULL-TIME (Regulations effective 5/10/95)
TC5,EMINENCE TEACHING CREDENTIAL
TC7,EXCHANGE CERTIFICATED EMPLOYEE TEACHING CREDENTIAL
TC8,SOJOURN CERTIFICATED EMPLOYEE TEACHING CREDENTIAL
TC9,Teacher Trainee Certificate
TCMS,SB 2042 Multiple Subject Teaching Credential
TCSS,SB 2042 Single Subject Teaching Credential
TLA1,General Education Single Subject Limited Assignment Teaching Permit
TLA2,General Education Multiple Subject Limited Assignment Teaching Permit
TLA3,Special Education Limited Assignment Teaching Permit
VFC,Preliminary Single Subject Teaching Credential-Based on VFP
VFP,Visiting Faculty Permit
