Course Code,Course Title,Broad Subject,Setting,Credentials Authorizing Course,Notes
7232,Advanced Dance (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7234,Intermediate Music and Recording Arts (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7235,Advanced Music and Recording Arts (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7237,Intermediate Theatre (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7238,Advanced Theatre (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7241,Intermediate Stage and Event Technology (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7242,Advanced Stage and Event Technology (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7244,Intermediate Film and Television Production (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7245,Advanced Film and Television Production (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7247,Intermediate Digital Communications (Audio/ Visual) (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7249,Advanced Digital Communications (Audio/ Visual) (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7261,Intermediate Game Art and Production (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7262,Advanced Game Art and Production (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7263,"Introduction to Performance, Music, and Live Events","Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7300,Introduction to Building and Construction Trades,Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7310,"Introduction to Cabinetry, Millwork, and Woodworking",Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7311,"Intermediate Cabinetry, Millwork, and Woodworking (Concentrator)",Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7312,"Advanced Cabinetry, Millwork, and Woodworking (Capstone)",Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7320,Introduction to Engineering and Heavy Construction,Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7321,Intermediate Engineering and Heavy Construction (Concentrator),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7322,Advanced Engineering and Heavy Construction (Capstone),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7330,Introduction to Mechanical Systems Installation and Repair,Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7331,Intermediate Mechanical Systems Installation and Repair (Concentrator),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7332,Advanced Mechanical Systems Installation and Repair (Capstone),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7340,Introduction to Residential and Commercial Construction,Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7341,Intermediate Residential and Commercial Construction (Concentrator),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7342,Advanced Residential and Commercial Construction (Capstone),Building and Construction Trades,Career Technical Education,Full Authorization:CTE: Building and Construction TradesSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7400,Introduction to Business and Finance,Business and Finance,Career Technical Education,"Full Authorization:CTE: Business and Finance; Marketing, Sales and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7410,Intermediate Business Management Communication Technologies (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7411,Intermediate Business Management Technologies (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7412,Advanced Business Management Enterprise and Project Management (Capstone),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7420,Intermediate Financial Services and Banking (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7421,Intermediate Financial Services Management and Business Economics (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7422,Advanced Financial Services  Business  Accounting (Capstone),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7430,Intermediate International Business (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7431,Intermediate International Business Communications (Concentrator),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7432,Advanced International Business Enterprise (Capstone),Business and Finance,Career Technical Education,Full Authorization:CTE: Business and FinanceSingle Subject*: Business,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7500,"Introduction to Education, Child Development, and Family Services","Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7510,Intermediate Child Development (Concentrator),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7511,Advanced Child Development (Capstone),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7520,Intermediate Consumer Services (Concentrator),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7521,Advanced Consumer Services (Capstone),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7530,Intermediate Education (Concentrator),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7531,Advanced Education (Capstone),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
